NOMBRE	EXPEDIENTE
CORPORACION FAVORITA C.A.	384
CORPORACION EL ROSADO S.A.	2913
INDUSTRIAL PESQUERA SANTA PRISCILA S.A.	22576
CONSORCIO ECUATORIANO DE TELECOMUNICACIONES S.A. CONECEL	47845
PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA	7154
ECUACORRIENTE S.A.	6796
DINADEC S.A.	128168
PRIMAX COMERCIAL DEL ECUADOR SOCIEDAD ANONIMA	86945
DISTRIBUIDORA FARMACEUTICA ECUATORIANA (DIFARE) S.A.	44313
SHAYA ECUADOR S.A.	705547
GISIS S.A.	70689
AURELIAN ECUADOR S.A	93144
PETROLEOS Y SERVICIOS PYS C.A.	48738
TIENDAS INDUSTRIALES ASOCIADAS TIA S.A.	3502
OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS OMARSA SA	40424
LA FABRIL S.A.	742
TERPEL-COMERCIAL ECUADOR CIA.LTDA.	56174
LETERAGO DEL ECUADOR S.A	109248
FARMAENLACE CIA. LTDA	153345
NEGOCIOS INDUSTRIALES REAL N.I.R.S.A. S.A.	3215
OTECEL S.A.	47972
AC BEBIDAS, S. DE R.L. DE C.V.	87185
GENERAL MOTORS DEL ECUADOR SA	8343
SCHLUMBERGER DEL ECUADOR S.A.	146446
SOCIEDAD NACIONAL DE GALAPAGOS CA	2151
CONSORCIO SHUSHUFINDI S.A.	143615
GERARDO ORTIZ E HIJOS C LTDA	30514
NESTLE ECUADOR S.A.	4238
VITAPRO ECUADOR CIA. LTDA.	175280
ANDES PETROLEUM ECUADOR LTD.	45534
AGRIPAC SA	20013
EXPALSA EXPORTADORA DE ALIMENTOS SA	40657
ATIMASA S.A.	73084
ACERIA DEL ECUADOR CA ADELCA.	2
HOLCIM ECUADOR S.A.	2308
EMPRESA ELECTRICA QUITO S.A.	476
NOVACERO S.A	8360
UNION DE BANANEROS ECUATORIANOS SA UBESA	3311
INDUSTRIAL DANEC SA	1587
CERVECERIA NACIONAL CN S.A.	2448
COMERCIAL KYWI SA	193
PETROLEOS DE LOS RIOS PETROLRIOS C.A.	48705
DISTRIBUIDORA IMPORTADORA DIPOR S.A.	43044
MEGA SANTAMARIA S.A.	156811
AEKIA S.A.	89655
INDUGLOB S. A.	30024
REYBANPAC REY BANANO DEL PACIFICO C.L.	9134
PROMARISCO SA	19679
THE TESALIA SPRINGS COMPANY S.A.	1088
UNILEVER ANDINA ECUADOR S.A.	49769
IPAC S.A	73818
ALMACENES DE PRATI SA	3135
FARMACIAS Y COMISARIATOS DE MEDICINAS SA FARCOMED	45323
PRODUMAR SA	19880
INT FOOD SERVICES CORP S.A.	87530
DISTRIVEHIC DISTRIBUIDORA DE VEHÍCULOS S.A.S.	145796
MEGADATOS S.A.	48855
GRUPASA GRUPO PAPELERO CIA.LTDA.	42971
BEBIDAS ARCACONTINENTAL ECUADOR ARCADOR S.A.	166413
TELCONET S.A.	72951
CARTONES NACIONALES S.A. I CARTOPEL	6233
NOVOPAN DEL ECUADOR SA	7307
MASGAS S.A.	87070
TOYOTA DEL ECUADOR S.A.	157383
CORPETROLSA S.A.	100121
ECUAQUIMICA ECUATORIANA DE PRODUCTOS QUIMICOS CA	4902
ECONOFARM S.A.	88675
INBALNOR S. A.	138584
AUTOMOTORES Y ANEXOS S.A. (A.Y.A.S.A.)	85
QUIFATEX SA	7300
PAPELERA NACIONAL SA	3680
AQUACARGILL DEL ECUADOR CIA.LTDA.	703439
VEPAMIL S.A.	58870
PDV ECUADOR S.A.	105020
EMPACRECI S.A.	128276
ENAP SIPETROL S.A.	47559
IMPORTADORA TOMEBAMBA S.A.	617
SUPERDEPORTE S.A.	87399
MARCIMEX S.A.	30062
MAQUINARIAS Y VEHICULOS S.A. MAVESA	4164
PROVEEDORA ECUATORIANA SA PROESA	1455
PRODUCTORA CARTONERA S.A.	4295
MODERNA ALIMENTOS S.A.	872
SALUDSA SISTEMA DE MEDICINA PRE-PAGADA DEL ECUADOR S.A.	48038
AVICOLA SAN ISIDRO S.A. AVISID	151340
CASABACA S.A.	168
AMBACAR CIA. LTDA.	11050
INTERNATIONAL WATER SERVICES ( GUAYAQUIL ) INTERAGUA C. LTDA.	103476
EUROFISH S.A.	34449
CORPORACION SUPERIOR CORSUPERIOR S.A.	48145
OMNIBUS BB TRANSPORTES SA	1920
UNIÓN CEMENTERA NACIONAL, UCEM S.A.	175121
SALICA DEL ECUADOR S.A.	103904
UNACEM ECUADOR S.A.	1814
FABRICA DE ENVASES S.A. FADESA	25119
FERTISA AGIF C.L.	724114
INDUSTRIAS ALES CA	677
CONSERVAS ISABEL ECUATORIANA S.A.	7027
UNICOMER DE ECUADOR S.A.	46249
EXPORTADORA TOTAL SEAFOOD TOTALSEAFOOD S.A.	701790
KUBIEC S.A.	49218
CONTINENTAL TIRE ANDINA S. A.	407
ASIAUTO S.A	90174
LIRIS S. A.	44472
SOCIEDAD AGRICOLA E INDUSTRIAL SAN CARLOS SA	2234
IN.CAR.PALM. INDUSTRIA CARTONERA PALMAR S.A.	38712
FRUTADELI S.A.	121435
SEAFMAN SOCIEDAD ECUATORIANA DE ALIMENTOS Y FRIGORIFICOS MANTA C.A.	369
EMPACADORA GRUPO GRANMAR S.A. EMPAGRAN	20090
COLGATE PALMOLIVE DEL ECUADOR SOCIEDAD ANONIMA INDUSTRIAL Y COMERCIAL	7211
CRECOSCORP S.A.	5276
INTCOMEX DEL ECUADOR S.A.	89892
PRODUCTOS FAMILIA SANCELA DEL ECUADOR S.A	49616
BMI IGUALAS MEDICAS DEL ECUADOR S.A.	151460
DURAGAS SA	604
DIRECTV ECUADOR C. LTDA.	157101
AVICOLA VITALOA S.A. AVITALSA	49445
ALIMENTSA S.A	44727
LA GANGA R.C.A. S.A.	25827
PRODUCTOS PERECIBLES Y MARISCOS PROPEMAR S.A.	35741
TECNICA Y COMERCIO DE LA PESCA C.A. TECOPESCA	34521
COMERCIALIZADORA DE BANANO DEL SUR COMERSUR CIA. LTDA.	142227
NUEVAS OPERACIONES COMERCIALES (NUCOPSA) S.A.	71531
NEGOCIOS AUTOMOTRICES NEOHYUNDAI S.A.	32360
MABE ECUADOR S.A.	72947
AJECUADOR S.A.	102796
INDUSTRIAS LACTEAS TONI SA	9468
CONSTRUCCIONES Y PRESTACIONES PETROLERAS S.A. CPP	146725
IASA S.A.	2592
ALMACENES JUAN ELJURI CIA. LTDA.	30152
COPACIGULF S.A.	181019
OLEODUCTO DE CRUDOS PESADOS (OCP) ECUADOR S.A.	90246
NOBOA TRADING CO TCN S.A.	133236
AGNAMAR S.A.	65754
PROEXPO, PROCESADORA Y EXPORTADORA DE MARISCOS S.A.	132992
CONTECON GUAYAQUIL S.A.	126760
HIDALGO E HIDALGO S.A.	10532
COMPANIA AZUCARERA VALDEZ SA	2041
COMERCIAL CARLOS ROLDAN CIA. LTDA.	32655
AUTOMOTORES CONTINENTAL S.A.S.	1607
SAN MIGUEL INDUSTRIAS ECUADOR SANMINDEC S.A.	178474
IDEAL ALAMBREC SA	1593
SOUTH PACIFIC SEAFOOD S.A. SOPASE	97735
GALAPESCA S.A.	101380
KUEHNE + NAGEL S.A.	72578
BEVERAGE BRAND & PATENTS COMPANY BBPC S.A.	725221
MEGALABS-PHARMA S.A.	45864
HALLIBURTON LATIN AMERICA S.R.L.	8018
PROCESADORA POSORJA PROPOSORJA S.A.	124772
ENI ECUADOR S.A.	8165
OLAM ECUADOR S.A.	137036
AGZULASA CIA. LTDA.	113104
MARBELIZE S.A.	34388
ROCHE ECUADOR S.A.	7745
PLUSPETROL ECUADOR B.V.	86185
PYDACO PRODUCTORES Y DISTRIBUIDORES COMERCIALES C LTDA	15917
PFIZER CIA. LTDA.	5090
EXTRACTORA AGRICOLA RIO MANSO EXA S.A.	13167
EXPORTQUILSA & PRODUCTORES ASOCIADOS S.A.	105773
SERVICIOS DE TELECOMUNICACIONES SETEL S.A	93431
FARMACIAS SANTAMARTHA S.A.	96255
PYCCA S.A.	21464
FUNDAMETZ S.A.	116787
INDUAUTO SA	5269
EMPACADORA DEL PACIFICO SOCIEDAD ANONIMA (EDPACIF S.A.)	34567
COFIMAR S.A.	73050
PROCESADORA DE MARISCOS DE EL ORO PROMAORO S.A.	146899
AGROAZUCAR ECUADOR S.A.	175748
MEXICHEM ECUADOR S.A.	3265
ASSA-AUTOMOTORES DE LA SIERRA S.A.	83
ZAIMELLA DEL ECUADOR SOCIEDAD ANONIMA	53019
PROCESADORA Y EXPORTADORA DE CAMARON PROCAMARONEX C. LTDA.	174221
INARPI S.A.	108136
TROPICALFRUIT EXPORT S.A.	122653
ASISERVY S.A.	72073
KMOTOR S.A. (KMOT)	103726
ASERTIA COMERCIAL S.A.	162766
VALLEJO ARAUJO S.A.	2872
COMOHOGAR SA	45504
BAYER S.A.	4488
MOLINOS CHAMPION MOCHASA S.A.S.	3669
LIMBOMAR S.A.	140508
LAFATTORIA S.A.	130216
MEGAPROFER S.A.	36488
IMPORTADOR FERRETERO TRUJILLO CIA. LTDA.	151640
TRECX S.A.	92003
SERVICIOS PETROLEROS IGAPÓ S.A.	179924
LAN CARGO S.A.	122161
DIPAC MANTA S.A.	13717
COMERCIAL ETATEX C.A.	18687
YANBAL ECUADOR S.A.	9144
ABBOTT LABORATORIOS DEL ECUADOR CIA. LTDA.	2507
ELECTRONICA SIGLO XXI ELECTROSIGLO S.A.	67252
PROVEFRUT S.A.	46427
ADMINISTRADORA DEL PACIFICO S.A. (ADEPASA)	149707
FERREMUNDO S.A.	108864
AUTOMEKANO CIA. LTDA.	37775
PRODUCTOS METALURGICOS SA (PROMESA)	3906
INDUSTRIAS DEL TABACO ALIMENTOS Y BEBIDAS S.A. ITABSA	46603
GRAIMAN CIA. LTDA.	31091
LACTEOS SAN ANTONIO CA	6029
LABORATORIOS SIEGFRIED S.A.	150434
ICESA S.A.	4294
CNPC CHUANQING DRILLING ENGINEERING COMPANY LIMITED	91881
BROADNET S.A.	116870
TECNOMEGA C.A.	87853
MEGAMETALES S.A.	103998
PLASTICOS RIVAL CIA LTDA	30310
OVERSEAS PETROLEUM AND INVESTMENT CORPORATION	45435
COMPANIA PANAMENA DE AVIACION S.A.	69303
GRUPO TRANSBEL S.A.	87327
CONAUTO C.A.	4904
FARMAMIA CIA. LTDA.	97590
MEDICAMENTA ECUATORIANA SA	45698
TIENDAS TUTI TTDE S.A.	721037
VITA ALIMENTOS C.A.	488
BRENNTAG ECUADOR S.A.	10481
KIMBERLY - CLARK ECUADOR S.A.	48839
PANAMERICANA VIAL S.A. PANAVIAL	49667
ACERIAS NACIONALES DEL ECUADOR SOCIEDAD ANONIMA (A.N.D.E.C)	4223
EXTRACTORA QUEVEPALMA S.A.	69307
INTEGRACION AVICOLA ORO S.A.	94830
CORPORACIÓN PROAUTO S.A.	46489
FISA FUNDICIONES INDUSTRIALES SA	4881
FERRO TORRE S.A.	10989
INTEROC S.A.	57528
MEDICINA PARA EL ECUADOR MEDIECUADOR-HUMANA S.A.	48641
WORLDWIDE INVESTMENTS AND REPRESENTATIONS WINREP S.A.	141446
DEVIES CORP S.A.	107009
TEOJAMA COMERCIAL SA	1065
CULTIVO Y EXPORTACION ACUICOLA CEAEXPORT S.A.	170746
BAGATOCORP S.A.	718322
CHAIDE Y CHAIDE SA	1943
SURAMERICANA DE MOTORES MOTSUR CIA. LTDA.	33796
COMPANIA GENERAL DE COMERCIO Y MANDATO SOCIEDAD ANONIMA	2173
METALKING S.A.	130041
CRIMASA CRIADEROS DE MARISCOS SA	9649
SUDAMERICANA INTEGRAL DE CONSTRUCCIONES SUDINCO S.A.	12800
CORPORACION NEXUM NEXUMCORP S.A.	102141
F.V-AREA ANDINA S.A.	1882
SUCESORES DE JACOBO PAREDES M. S.A.	10469
SANOFI-AVENTIS DEL ECUADOR S.A.	7470
PLANTACIONES DE BALSA PLANTABAL SA	19436
KLM CIA REAL HOLANDESA DE AVIACION SA	4840
MONDELEZ ECUADOR C. LTDA.	9635
FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.	80903
PINTURAS CONDOR SA	307
BIMBO ECUADOR S.A.	4061
ECUAJUGOS SA	9031
DYVENPRO DISTRIBUCION Y VENTA DE PRODUCTOS SOCIEDAD ANONIMA	28471
LABORATORIOS BAGO DEL ECUADOR S.A.	47406
CONJUNTO CLINICO NACIONAL CONCLINA CA	7471
ADMINISTRACION ESTRATEGICA DE GASOLINERAS DEL ECUADOR ADESGAE CIA.LTDA.	703924
BOPP DEL ECUADOR S.A.	16465
SIGMAEC CIA.LTDA.	10971
ACESCO ECUADOR S.A.	116265
PROCTER & GAMBLE ECUADOR CIA. LTDA.	47936
ECUAGREENPRODEX S.A.	62022
SURPAPELCORP S.A.	97887
EXPOTUNA S.A.	120796
EMPRESA ELECTRICA REGIONAL DEL SUR SA EERSSA	753
DK MANAGEMENT SERVICES SOCIEDAD ANONIMA	48584
FARMAGRO S.A.	57786
ENCHAPES DECORATIVOS SA ENDESA	1836
PINTURAS UNIDAS S.A.	21465
FRIGOLANDIA S.A.	59990
FERMAGRI S.A.	86166
AVIANCA-ECUADOR S.A.	45396
TENARIS GLOBAL SERVICES ECUADOR S.A.	150540
ELECTROCABLES C.A.	19691
EDESA SA	1799
VERIS S.A.	155972
LATAM-AIRLINES ECUADOR S.A.	91788
CHINA RAILWAY 19 BUREAU GROUP CORPORATION	706532
QUALA ECUADOR S.A.	85376
PLASTICAUCHO INDUSTRIAL S.A.	1195
FRIGOPESCA C.A.	133831
